,date,N_likes,N_reposts,Хэштег
107,2022-01-22 12:16:24,205,177,[]
108,2022-01-21 10:00:54,34,15,['#Skillbox_дизайн']
109,2022-01-20 11:40:34,45,19,['#Skillbox_мультимедиа']
110,2022-01-19 12:47:52,50,27,['#Skillbox_психология']
111,2022-01-18 19:08:39,25,5,[]
112,2022-01-18 11:09:17,221,178,[]
113,2022-01-17 16:59:35,20,7,['#Skillbox_мультимедиа']
114,2022-01-16 11:24:09,25,7,['#Skillbox_психология']
115,2022-01-15 12:20:28,116,32,['#Skillbox_дизайн']
116,2022-01-14 17:04:02,25,11,[]
117,2022-01-14 10:55:23,56,52,[]
118,2022-01-13 12:00:37,205,166,[]
119,2022-01-12 14:25:17,22,6,['#Skillbox_мультимедиа']
120,2022-01-12 11:02:31,93,24,['#Skillbox_маркетинг']
121,2022-01-11 13:39:21,8,6,['#Расписание_Skillbox']
122,2022-01-11 11:33:30,49,33,['#Skillbox_мультимедиа']
123,2022-01-10 10:43:22,97,60,[]
124,2022-01-09 12:23:09,130,63,[]
125,2022-01-06 13:24:40,239,130,[]
126,2022-01-04 11:04:28,271,165,[]
127,2022-01-02 13:18:21,50,12,['#Skillbox_мультимедиа']
128,2021-12-31 13:00:22,196,137,[]
129,2021-12-29 10:00:40,195,129,[]
130,2021-12-28 17:16:42,32,7,['#Skillbox_трудоустройство']
131,2021-12-28 14:25:10,28,4,[]
132,2021-12-28 11:33:25,30,4,['#Skillbox_маркетинг']
133,2021-12-27 16:04:53,20,6,['#Расписание_Skillbox']
134,2021-12-27 10:15:20,26,7,['#Skillbox_маркетинг']
135,2021-12-26 11:44:31,52,44,['#Skillbox_программирование']
136,2021-12-25 16:30:00,28,6,['#Skillbox_мультимедиа']
137,2021-12-25 09:30:49,24,7,['#Skillbox_маркетинг']
138,2021-12-24 19:01:07,26,8,['#Skillbox_психология']
139,2021-12-24 16:32:20,15,1,['#Skillbox_мультимедиа']
140,2021-12-24 11:40:27,42,23,['#Skillbox_программирование']
141,2021-12-23 15:00:02,26,20,[]
142,2021-12-23 10:40:49,23,13,['#Skilbox_психология']
143,2021-12-22 10:21:35,14,6,['#Skillbox_игры']
144,2021-12-21 17:16:09,29,13,['#Skillbox_дизайн']
145,2021-12-21 11:10:23,26,8,[]
146,2021-12-20 12:58:44,37,23,['#Расписание_Skillbox']
147,2021-12-19 11:21:24,224,154,[]
148,2021-12-18 15:33:20,23,6,['#Skillbox_дизайн']
149,2021-12-18 12:08:21,27,8,['#Skillbox_дизайн']
150,2021-12-17 14:00:21,16,6,['#Skillbox_маркетинг']
151,2021-12-17 10:47:34,23,6,['#Skillbox_управление']
152,2021-12-16 17:12:54,10,2,['#Skillbox_маркетинг']
153,2021-12-16 15:11:01,17,25,[]
154,2021-12-15 18:00:31,48,25,['#Skillbox_высшее_образование']
155,2021-12-15 15:05:22,21,3,[]
156,2021-12-15 11:59:03,13,3,['#Skillbox_программирование']
157,2021-12-14 18:30:25,8,5,[]
158,2021-12-14 18:05:16,44,28,['#Skillbox_игры']
159,2021-12-13 15:54:53,24,11,['#Расписание_Skillbox']
160,2021-12-13 13:59:19,39,21,['#Skillbox_маркетинг']
161,2021-12-12 10:11:28,26,15,['#Skillbox_бизнес']
162,2021-12-12 09:45:03,15,6,[]
163,2021-12-11 12:44:37,342,260,[]
164,2021-12-10 10:11:46,69,39,['#Skillbox_управление']
165,2021-12-09 10:39:34,41,17,['#Skillbox_мультимедиа']
166,2021-12-08 16:50:26,34,3,['#Skillbox_программирование']
167,2021-12-07 11:49:35,57,17,['#Skillbox_мультимедиа']
168,2021-12-06 14:13:38,32,11,['#Расписание_Skillbox']
169,2021-12-06 11:30:18,32,9,['#Skillbox_мультимедиа']
170,2021-12-05 10:39:09,36,13,['#Skillbox_управление']
171,2021-12-04 09:47:52,69,21,['#Skillbox_маркетинг']
172,2021-12-03 18:49:53,29,21,['#Skillbox_психология']
173,2021-12-03 10:32:06,21,9,[]
174,2021-12-02 15:00:54,28,31,['#Skillbox_психология']
175,2021-12-02 13:00:39,13,2,['#Skillbox_маркетинг']
176,2021-12-02 12:00:01,20,14,[]
177,2021-12-01 17:56:25,18,7,['#Skillbox_маркетинг']
178,2021-11-30 11:17:34,471,390,[]
179,2021-11-29 15:15:05,27,22,['#Расписание_Skillbox']
180,2021-11-28 12:23:16,29,16,[]
181,2021-11-27 13:36:31,81,58,['#Skillbox_психология']
182,2021-11-26 14:30:05,25,3,['#Skillbox_маркетинг']
183,2021-11-26 12:12:42,20,18,['#Skillbox_маркетинг']
184,2021-11-25 10:13:31,55,24,['#Skillbox_психология']
185,2021-11-24 17:51:38,22,18,['#Skillbox_психология']
186,2021-11-23 11:58:17,29,17,['#Skillbox_игры']
187,2021-11-22 12:53:26,32,29,['#Расписание_Skillbox']
188,2021-11-22 11:22:32,637,525,[]
189,2021-11-21 10:50:20,74,77,['#Skillbox_маркетинг']
190,2021-11-20 13:12:09,18,9,['#Skillbox_программирование']
191,2021-11-19 16:21:33,18,14,[]
192,2021-11-19 11:30:39,46,18,['#Skillbox_дизайн']
193,2021-11-18 19:04:53,19,8,[]
194,2021-11-18 12:05:00,18,14,[]
195,2021-11-18 10:40:22,285,251,[]
196,2021-11-17 10:34:12,8,5,[]
197,2021-11-16 11:53:21,439,369,[]
198,2021-11-15 16:52:30,50,25,['#Skillbox_программирование']
199,2021-11-15 14:21:27,26,35,['#Расписание_Skillbox']
200,2021-11-14 12:08:27,39,22,['#Skillbox_программирование']
201,2021-11-13 10:13:30,32,30,['#Skillbox_программирование']
202,2021-11-12 18:34:12,18,3,[]
203,2021-11-11 10:07:30,59,29,['#неткибербуллингу']
204,2021-11-10 13:05:22,916,879,[]
205,2021-11-09 19:39:12,22,19,[]
206,2021-11-09 12:49:04,14,2,['#Skillbox_маркетинг']
207,2021-11-08 14:02:30,22,18,['#Расписание_Skillbox']
208,2021-11-07 16:19:08,25,13,[]
209,2021-11-07 13:16:24,46,39,[]
210,2021-11-06 13:20:00,26,12,['#Skillbox_дизайн']
211,2021-11-05 14:39:00,29,20,[]
212,2021-11-05 11:36:32,55,29,['#Skillbox_программирование']
213,2021-11-04 20:22:34,19,19,[]
214,2021-11-04 12:13:25,11,5,['#Skillbox_игры']
215,2021-11-03 17:27:27,34,17,[]
216,2021-11-03 10:48:23,407,373,[]
217,2021-11-02 18:44:40,415,336,[]
218,2021-11-02 15:35:13,21,6,[]
219,2021-11-01 16:22:41,18,12,['#Расписание_Skillbox']
220,2021-10-31 11:16:16,47,28,[]
221,2021-10-30 15:26:38,40,22,['#Skillbox_программирование']
222,2021-10-29 19:00:00,577,542,[]
223,2021-10-29 17:28:21,32,19,[]
224,2021-10-29 16:00:00,247,219,[]
225,2021-10-29 10:36:28,188,150,[]
226,2021-10-28 19:00:00,286,259,[]
227,2021-10-28 18:58:23,47,37,[]
228,2021-10-28 16:00:01,191,175,[]
229,2021-10-28 12:34:00,64,52,['#Skillbox_дизайн']
230,2021-10-27 20:00:01,325,304,[]
231,2021-10-27 17:00:02,301,256,[]
232,2021-10-27 10:18:30,47,53,['#Skillbox_игры']
233,2021-10-26 17:06:17,33,14,[]
234,2021-10-25 14:01:32,22,10,['#Расписание_Skillbox']
235,2021-10-25 12:47:54,20,15,['#Skillbox_мультимедиа']
236,2021-10-24 10:30:24,18,19,['#Skillbox_управление']
237,2021-10-23 13:23:50,104,18,['#Skillbox_дизайн']
238,2021-10-22 19:25:41,706,655,[]
239,2021-10-22 18:36:03,37,16,['#Skillbox_мультимедиа']
240,2021-10-21 19:57:30,34,16,['#Skillbox_дизайн']
241,2021-10-21 14:02:20,43,32,[]
242,2021-10-21 11:26:26,34,18,[]
243,2021-10-20 19:04:02,20,19,[]
244,2021-10-20 18:18:20,8,6,[]
245,2021-10-20 15:17:35,23,35,['#Skillbox_игры']
246,2021-10-18 13:23:00,18,22,['#Расписание_Skillbox']
247,2021-10-17 12:36:34,64,39,['#Skillbox_маркетинг']
248,2021-10-16 13:16:27,44,28,['#Skillbox_управление']
249,2021-10-15 19:15:40,9,12,[]
250,2021-10-15 10:13:24,16,5,['#Skillbox_мультимедиа']
251,2021-10-14 18:29:17,26,17,['#Skillbox_мультимедиа']
252,2021-10-13 18:46:29,13,3,['#Skillbox_маркетинг']
253,2021-10-13 10:48:00,507,455,[]
254,2021-10-12 19:14:01,16,11,[]
255,2021-10-12 13:02:05,35,32,['#Skillbox_игры']
256,2021-10-11 18:22:11,16,16,[]
257,2021-10-11 15:56:01,35,35,['#Расписание_Skillbox']
258,2021-10-10 11:02:21,54,14,['#Skillbox_маркетинг']
259,2021-10-09 15:46:20,516,428,[]
260,2021-10-09 13:31:51,53,20,['#Skillbox_программирование']
261,2021-10-07 15:09:43,32,6,['#Skillbox_мультимедиа']
262,2021-10-07 11:30:52,32,23,['#Skillbox_мультимедиа']
263,2021-10-06 18:43:25,449,28,[]
264,2021-10-06 10:32:24,89,13,['#Skillbox_маркетинг']
265,2021-10-05 16:35:10,32,10,[]
266,2021-10-05 14:30:31,224,189,[]
267,2021-10-05 11:22:23,42,49,[]
268,2021-10-04 22:58:07,217,147,[]
269,2021-10-04 19:43:30,451,622,[]
270,2021-10-04 18:42:06,205,170,[]
271,2021-10-04 17:34:12,35,19,['#Расписание_Skillbox']
272,2021-10-04 10:30:29,55,21,['#Skillbox_программирование']
273,2021-10-03 13:05:56,50,36,['#Skillbox_маркетинг']
274,2021-10-02 13:10:42,312,250,[]
275,2021-10-01 18:00:00,296,280,[]
276,2021-10-01 15:16:17,28,14,[]
277,2021-10-01 10:01:45,46,30,['#Skillbox_мультимедиа']
278,2021-09-30 18:00:00,205,191,[]
279,2021-09-30 15:34:39,30,13,['#Skillbox_дизайн']
280,2021-09-30 10:25:19,45,30,['#Skillbox_маркетинг']
281,2021-09-29 18:00:00,155,118,[]
282,2021-09-29 10:21:06,84,62,[]
283,2021-09-28 18:00:01,129,114,[]
284,2021-09-28 14:40:31,41,21,[]
285,2021-09-28 13:59:24,211,128,[]
286,2021-09-28 11:21:22,21,26,['#Skillbox_психология']
287,2021-09-27 18:00:02,125,103,[]
288,2021-09-27 15:18:10,26,22,['#Расписание_Skillbox']
289,2021-09-27 10:34:40,84,25,['#Skilbox_маркетинг']
290,2021-09-26 14:30:32,38,19,['#Skillbox_программирование']
291,2021-09-25 12:52:35,47,34,['#Skillbox_мультимедиа']
292,2021-09-25 10:52:35,178,128,[]
293,2021-09-24 11:20:51,63,44,['#Skillbox_маркетинг']
294,2021-09-23 13:15:00,29,33,[]
295,2021-09-23 12:16:40,19,13,[]
296,2021-09-23 11:00:17,16,6,[]
297,2021-09-22 19:17:24,19,12,['#Skillbox_дизайн']
298,2021-09-22 16:30:18,21,24,[]
299,2021-09-22 12:05:21,36,15,['#Skillbox_лояльность']
300,2021-09-22 10:30:39,54,18,['#Skillbox_программирование']
301,2021-09-20 15:36:59,29,32,['#Расписание_Skillbox']
302,2021-09-20 11:15:09,48,34,[]
303,2021-09-19 13:12:30,79,71,['#Skillbox_маркетинг']
304,2021-09-18 12:21:38,47,15,['#Skillbox_мультимедиа']
305,2021-09-17 12:21:55,39,20,[]
306,2021-09-16 11:42:21,70,81,['#Skillbox_дизайн']
307,2021-09-15 13:09:59,32,29,[]
308,2021-09-15 12:19:24,33,11,['#Skillbox_лояльность']
309,2021-09-14 17:38:54,283,540,[]
310,2021-09-14 13:30:22,34,13,[]
311,2021-09-14 11:12:43,23,11,['#Skillbox_мультимедиа']
312,2021-09-13 11:27:26,20,17,['#Расписание_Skillbox']
313,2021-09-12 10:59:31,43,18,['#Skillbox_игры']
314,2021-09-11 11:20:33,38,25,['#Skillbox_программирование']
315,2021-09-09 17:02:31,56,31,[]
316,2021-09-08 14:05:05,34,21,['#Skillbox_business_school']
317,2021-09-08 13:54:37,37,18,[]
318,2021-09-08 11:34:52,31,16,[]
319,2021-09-07 12:50:52,44,24,['#Skillbox_business_school']
320,2021-09-07 12:01:08,30,11,['#Skillbox_мультимедиа']
321,2021-09-06 19:31:14,66,44,['#Skillbox_управление']
322,2021-09-06 18:15:39,19,5,['#Skillbox_маркетинг']
323,2021-09-06 17:52:53,23,5,[]
324,2021-09-06 13:50:35,23,20,['#Расписание_Skillbox']
325,2021-09-04 11:34:51,25,17,['#Skillbox_дизайн']
326,2021-09-03 19:12:47,34,21,[]
327,2021-09-03 12:48:12,21,7,[]
328,2021-09-02 10:30:32,60,46,[]
329,2021-09-01 19:04:37,18,5,[]
330,2021-09-01 17:21:41,127,80,[]
331,2021-08-31 18:55:31,51,18,[]
332,2021-08-31 16:57:59,42,25,['#Skillbox_дизайн']
333,2021-08-31 15:26:39,90,48,[]
334,2021-08-31 14:09:03,23,10,[]
335,2021-08-30 13:33:47,15,3,[]
336,2021-08-30 11:31:18,27,24,['#Расписание_Skillbox']
337,2021-08-28 12:00:32,173,98,[]
338,2021-08-27 16:50:22,44,38,['#Skillbox_маркетинг']
339,2021-08-27 15:13:14,29,18,['#Skillbox_игры']
340,2021-08-26 13:00:54,54,42,[]
341,2021-08-26 12:08:48,13,3,[]
342,2021-08-26 10:30:02,246,105,[]
343,2021-08-25 15:26:22,50,30,['#Skillbox_программирование']
344,2021-08-23 20:56:27,161,110,[]
345,2021-08-23 18:40:59,36,35,['#Расписание_Skillbox']
346,2021-08-23 16:45:54,35,6,['#Skillbox_дизайн']
347,2021-08-21 11:30:20,105,128,['#Skillbox_маркетинг']
348,2021-08-20 18:05:30,50,28,['#Skillbox_программирование']
349,2021-08-20 15:49:09,123,75,[]
350,2021-08-20 14:39:04,67,110,['#Skillbox_Программирование']
351,2021-08-20 12:03:25,41,38,[]
352,2021-08-19 12:36:02,446,825,[]
353,2021-08-18 18:50:15,28,8,[]
354,2021-08-18 17:36:15,11,3,[]
355,2021-08-18 11:25:12,50,20,['#Skillbox_дизайн']
356,2021-08-17 14:20:04,23,13,[]
357,2021-08-17 11:00:47,27,18,['#Skillbox_мультимедиа']
358,2021-08-16 17:21:37,37,15,[]
359,2021-08-16 16:15:22,58,63,['#Расписание_Skillbox']
360,2021-08-16 15:20:39,59,41,[]
361,2021-08-16 13:35:19,13,1,[]
362,2021-08-16 10:30:26,36,10,['#Skillbox_дизайн']
363,2021-08-14 12:00:16,126,23,['#Skillbox_маркетинг']
364,2021-08-13 19:22:34,46,35,[]
365,2021-08-13 16:11:38,25,11,"['#откройсвоёлукоморье', '#Skillbox_дизайн']"
366,2021-08-12 17:03:21,25,19,['#Skillbox_вакансии']
367,2021-08-12 12:30:35,37,21,['#Skillbox_трудоустройство']
368,2021-08-11 22:53:30,41,26,[]
369,2021-08-11 19:40:04,10,1,[]
370,2021-08-11 15:00:46,27,13,['#Skillbox_мультимедиа']
371,2021-08-11 14:43:26,8,0,[]
372,2021-08-10 19:05:46,20,6,[]
373,2021-08-10 18:43:31,70,48,[]
374,2021-08-10 11:00:45,72,37,[]
375,2021-08-09 19:02:25,47,30,[]
376,2021-08-09 12:30:21,31,26,['#Расписание_Skillbox']
377,2021-08-09 12:00:06,25,6,"['#OFFFMoscow', '#Skillbox_OFFF']"
378,2021-08-08 15:00:45,75,78,[]
379,2021-08-08 11:00:28,27,36,[]
380,2021-08-07 12:00:23,24,8,[]
381,2021-08-06 18:34:29,24,12,['#Skillbox_маркетинг']
382,2021-08-06 16:09:41,17,18,[]
383,2021-08-05 18:22:46,22,10,['#Skillbox_программирование']
384,2021-08-05 13:25:29,23,9,[]
385,2021-08-05 12:39:20,8,1,[]
386,2021-08-04 14:50:16,60,30,['#Skillbox_Kespa']
387,2021-08-03 19:30:25,28,13,[]
388,2021-08-03 18:51:32,15,10,['#Skillbox_карьерныйплан']
389,2021-08-03 18:15:37,16,27,[]
390,2021-08-03 18:00:01,27,22,[]
391,2021-08-03 16:06:52,24,20,[]
392,2021-08-02 18:00:02,36,33,[]
393,2021-08-02 12:44:33,39,42,['#Расписание_Skillbox']
394,2021-08-02 12:41:16,9,6,[]
395,2021-08-01 18:00:02,89,97,[]
396,2021-08-01 10:53:22,63,38,['#Skillbox_управление']
397,2021-07-31 18:00:03,22,10,[]
398,2021-07-31 11:00:31,42,21,[]
399,2021-07-30 18:00:06,95,91,[]
400,2021-07-30 17:00:22,36,64,[]
401,2021-07-30 14:34:25,39,48,[]
402,2021-07-30 14:19:25,18,20,['#Skillbox_работа']
403,2021-07-30 11:41:47,14,8,['#Skillbox_карьерныйплан']
404,2021-07-29 13:40:32,16,1,['#Вамслово_Skillbox']
405,2021-07-28 16:21:08,28,12,[]
406,2021-07-28 13:00:01,42,17,['#Skillbox_маркетинг']
407,2021-07-27 17:37:56,16,10,['#Skillbox_управление']
408,2021-07-27 14:16:57,27,9,['#Skillbox_дизайн']
409,2021-07-26 14:44:14,56,43,['#Расписание_Skillbox']
410,2021-07-25 15:00:36,42,40,['#Skillbox_программирование']
411,2021-07-25 10:26:23,251,231,[]
412,2021-07-24 12:16:58,280,235,[]
413,2021-07-23 16:00:02,16,3,"['#OFFFMoscow', '#Skillbox_OFFF']"
414,2021-07-22 19:47:23,21,9,[]
415,2021-07-22 17:38:41,27,28,['#откройсвоелукоморье']
416,2021-07-22 12:46:05,68,25,['#Skillbox_задачки']
417,2021-07-21 18:21:17,24,7,['#Skillbox_Untitled']
418,2021-07-21 10:44:19,27,18,[]
419,2021-07-20 19:00:30,18,6,['#анонс_skillbox']
420,2021-07-20 14:57:24,83,83,['#в_закладки_skillbox']
421,2021-07-19 18:15:57,19,5,[]
422,2021-07-19 14:30:39,49,30,['#skillbox_геймдев']
423,2021-07-19 12:55:09,60,50,['#Расписание_Skillbox']
424,2021-07-18 14:12:29,28,25,['#программирование_skillbox']
425,2021-07-17 14:00:28,370,298,[]
426,2021-07-17 12:25:48,20,1,['#skillbox_мультимедиа']
427,2021-07-16 20:32:11,19,2,"['#OFFFMoscow', '#Skillbox_OFFF']"
428,2021-07-16 17:53:25,20,11,[]
429,2021-07-16 17:30:11,34,33,"['#skillbox_программирование', '#статья_skillbox']"
430,2021-07-16 12:00:10,33,14,['#skillbox_дизайн']
431,2021-07-15 18:53:31,27,8,[]
432,2021-07-15 18:00:24,25,14,['#Лекторий_Skillbox']
433,2021-07-15 16:00:06,18,5,['#skillbox_дизайн']
434,2021-07-15 13:24:08,24,6,['#skillbox_дизайн']
435,2021-07-14 16:01:06,22,4,['#skillbox_мультимедиа']
436,2021-07-14 15:34:46,27,10,['#Skillbox_business_school']
437,2021-07-13 17:02:04,27,7,['#skillbox_управление']
438,2021-07-12 21:54:35,24,1,['#skillbox_дизайн']
439,2021-07-12 19:33:12,36,21,['#статья_skillbox']
440,2021-07-12 15:57:44,62,40,['#skillbox_управление']
441,2021-07-12 13:15:59,17,18,['#Расписание_Skillbox']
442,2021-07-11 16:00:07,22,13,['#skillbox_дизайн']
443,2021-07-11 14:10:00,24,11,['#skillbox_дизайн']
444,2021-07-11 13:09:48,60,60,['#вдохновение_skillbox']
445,2021-07-10 13:06:53,56,25,['#skillbox_гейм']
446,2021-07-09 16:42:38,48,10,['#skillbox_дизайн']
447,2021-07-09 13:08:00,14,2,[]
448,2021-07-08 20:46:17,27,9,"['#статья_skillbox', '#высшее_образование_skillbox']"
449,2021-07-08 16:30:15,214,127,['#маркетинг_skillbox']
450,2021-07-08 15:52:44,11,3,[]
451,2021-07-07 19:16:42,37,27,"['#skillbox_управление', '#статья_skillbox']"
452,2021-07-07 13:41:48,18,4,['#skillbox_мультимедиа']
453,2021-07-06 17:33:47,48,41,"['#статья_skillbox', '#skillbox_программирование']"
454,2021-07-05 19:27:30,22,5,"['#skillbox_дизайн', '#работа_студента_skillbox']"
455,2021-07-05 15:27:54,60,27,['#skillbox_анонс']
456,2021-07-05 14:07:04,29,20,['#Расписание_Skillbox']
457,2021-07-04 13:20:37,32,15,['#студенты_skillbox']
458,2021-07-03 12:57:02,21,4,"['#skillbox_маркетинг', '#в_закладки_skillbox']"
459,2021-07-02 20:10:10,34,27,['#статья_skillbox']
460,2021-07-02 14:19:50,26,12,"['#skillbox_управление', '#совет_препода_skillbox']"
461,2021-07-01 18:00:09,56,19,"['#skillbox_дизайн', '#статья_skillbox']"
462,2021-07-01 16:00:21,20,3,['#skillbox_анонс']
463,2021-07-01 14:15:37,55,14,"['#skillbox_дизайн', '#в_закладки_skillbox']"
464,2021-07-01 12:23:20,53,48,[]
465,2021-06-30 18:19:40,31,15,['#skillbox']
466,2021-06-30 15:30:29,34,9,['#skillbox_анонс']
467,2021-06-30 13:28:07,17,3,['#skillbox_анонс']
468,2021-06-29 20:29:56,36,22,"['#высшее_образование_skillbox', '#статья_skillbox']"
469,2021-06-29 18:56:23,19,4,['#skillbox_управление']
470,2021-06-29 14:28:35,18,5,['#Лекторий_Skillbox']
471,2021-06-28 20:31:12,34,18,[]
472,2021-06-28 14:20:16,24,15,['#Расписание_Skillbox']
473,2021-06-28 11:17:02,66,87,['#skillbox_анонс']
474,2021-06-27 13:13:04,105,58,['#в_закладки_skillbox']
475,2021-06-26 12:43:21,71,48,['#skillbox_программирование']
476,2021-06-25 18:30:17,56,70,"['#skillbox_маркетинг', '#статья_skillbox']"
477,2021-06-25 14:00:43,34,29,"['#skillbox_маркетинг', '#совет_препода_skillbox']"
478,2021-06-25 11:32:51,22,3,['#skillbox_дизайн']
479,2021-06-24 15:00:05,20,4,['#skillbox_анонс']
480,2021-06-23 18:43:31,37,17,"['#skillbox_дизайн', '#статья_skillbox']"
481,2021-06-23 11:30:20,74,65,['#skillbox_программирование']
482,2021-06-22 18:19:33,50,52,"['#skillbox_игры', '#статья_skillbox']"
